35	36.7	56	57.3
72	72.6	56	57.6
42	43.3	33	34.7
58	59.5	78	78.8
44	45.3	23	24.7
72	73.2	92	93.4
18	19.7	84	84.9
58	59.4	56	56.7
43	44.2	22	23.2
58	58.8	90	90.7
18	19.2	22	22.9
80	81.3	47	48.2
17	18	69	70.6
78	80	31	32.9
33	34.2	8	9.3
82	82.8	76	76.7
19	20.1	56	56.8
65	66.1	82	83.7
30	31.5	22	22.7
59	59.8	41	42.3
45	46.4	78	79
85	86.8	15	16.8
40	41.7	57	58.3
75	76.9	23	23.8
11	11.6	81	81.9
65	65.6	78	79.1
18	19.7	92	93.6
66	67.6	6	7.1
35	36	73	73.7
91	92.8	47	47.9
36	37.5	33	35
95	95.8	76	76.7
21	21.9	69	70.1
75	76.6	69	70.8
37	38.9	41	42.6
76	76.6	33	34.2
34	35.9	7	7.9
57	57.8	76	76.9
17	18.5	49	50.9
95	95.7	41	42.9
41	42.8	72	73.1
68	69.9	63	64
40	41.4	8	9.3
57	58	36	37.6
20	22	41	42.8
79	80.9	68	69.1
27	28.2	81	82.3
91	92.9	75	76.1
20	21.2	24	25
94	96	60	60.6
39	40.2	64	64.9
56	57.2	54	54.8
24	25	70	70.8
68	68.7	52	53.6
45	47	13	14.5
90	92	40	41
27	27.8	66	67.2
80	80.7	32	33
26	27.6	41	42.1
90	91.8	25	26.3
